"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"idlimit",65,80,368.1182861328125,368.1182861328125,368.1182861328125,368.1182861328125
90
"skiplimit",65,90,360.8862559000651,360.8862559000651,360.8862559000651,360.8862559000651
"idlimit",65,90,362.8730773925781,362.8730773925781,362.8730773925781,362.8730773925781
100
"skiplimit",65,100,360.17100016276044,360.17100016276044,360.17100016276044,360.17100016276044
"idlimit",65,100,357.70734151204425,357.70734151204425,357.70734151204425,357.70734151204425
70
10
"skiplimit",70,10,272.5010826474144,279.9828847249349,279.9828847249349,270.1282501220703
"idlimit",70,10,297.3760877336774,301.8379211425781,301.8379211425781,297.0695495605469
20
"skiplimit",70,20,292.06275939941406,291.1885579427083,291.1885579427083,290.07593790690106
"idlimit",70,20,309.88454818725586,316.46092732747394,316.46092732747394,296.9900767008464
30
"skiplimit",70,30,300.4868825276693,302.23528544108075,302.23528544108075,279.8239390055339
"idlimit",70,30,319.9047512478299,311.2951914469401,311.2951914469401,302.4737040201823
40
"skiplimit",70,40,316.18277231852215,309.3878428141276,309.3878428141276,309.3878428141276
"idlimit",70,40,334.85889434814453,323.37506612141925,323.37506612141925,323.37506612141925
50
"skiplimit",70,50,319.79878743489587,301.04319254557294,301.04319254557294,301.04319254557294
"idlimit",70,50,340.9385681152344,339.5875295003255,339.5875295003255,339.5875295003255
60
"skiplimit",70,60,324.6466318766276,293.41379801432294,293.41379801432294,293.41379801432294
"idlimit",70,60,338.0775451660156,321.7856089274089,321.7856089274089,321.7856089274089
70
"skiplimit",70,70,368.99248758951825,368.99248758951825,368.99248758951825,368.99248758951825
"idlimit",70,70,362.396240234375,362.396240234375,362.396240234375,362.396240234375
80
"skiplimit",70,80,369.3898518880208,369.3898518880208,369.3898518880208,369.3898518880208
"idlimit",70,80,374.2376963297526,374.2376963297526,374.2376963297526,374.2376963297526
90
"skiplimit",70,90,368.8335418701172,368.8335418701172,368.8335418701172,368.8335418701172
"idlimit",70,90,364.3035888671875,364.3035888671875,364.3035888671875,364.3035888671875
100
"skiplimit",70,100,364.14464314778644,364.14464314778644,364.14464314778644,364.14464314778644
"idlimit",70,100,369.15143330891925,369.15143330891925,369.15143330891925,369.15143330891925
75
10
"skiplimit",75,10,276.0191758473714,279.6649932861328,279.6649932861328,275.4529317220052
"idlimit",75,10,327.74607340494794,370.7408905029297,370.7408905029297,302.1558125813802
20
"skiplimit",75,20,296.47350311279297,297.30796813964844,297.30796813964844,293.3343251546224
"idlimit",75,20,317.2159194946289,320.4345703125,320.4345703125,306.4473470052083
30
"skiplimit",75,30,302.7386135525174,307.7983856201172,307.7983856201172,288.32753499348956
"idlimit",75,30,323.4280480278863,318.20933024088544,318.20933024088544,307.95733133951825
40
"skiplimit",75,40,322.7790196736654,319.48089599609375,319.48089599609375,319.48089599609375
"idlimit",75,40,348.64743550618493,325.20294189453125,325.20294189453125,325.20294189453125
50
"skiplimit",75,50,318.88484954833984,301.52002970377606,301.52002970377606,301.52002970377606
"idlimit",75,50,338.5146458943685,336.4086151123047,336.4086151123047,336.4086151123047
60
"skiplimit",75,60,323.57374827067054,298.3411153157552,298.3411153157552,298.3411153157552
"idlimit",75,60,336.20993296305335,321.9445546468099,321.9445546468099,321.9445546468099
70
"skiplimit",75,70,332.55418141682946,304.14263407389325,304.14263407389325,304.14263407389325
"idlimit",75,70,336.2894058227539,309.7057342529297,309.7057342529297,309.7057342529297
80
"skiplimit",75,80,369.07196044921875,369.07196044921875,369.07196044921875,369.07196044921875
"idlimit",75,80,367.6414489746094,367.6414489746094,367.6414489746094,367.6414489746094
90
"skiplimit",75,90,368.43617757161456,368.43617757161456,368.43617757161456,368.43617757161456
"idlimit",75,90,372.96613057454425,372.96613057454425,372.96613057454425,372.96613057454425
100
"skiplimit",75,100,369.15143330891925,369.15143330891925,369.15143330891925,369.15143330891925
"idlimit",75,100,374.9529520670573,374.9529520670573,374.9529520670573,374.9529520670573
80
10
"skiplimit",80,10,276.1085828145345,280.53919474283856,280.53919474283856,274.658203125
"idlimit",80,10,298.66894086201984,303.9836883544922,303.9836883544922,294.8443094889323
20
